id;login;cabinet;dmaj;recordstatus;ddebut;dfin
878;afumeron;ruffec-mois-sans-tabac;2016-11-14 16:01:49;0;2016-11-14;
873;afumeron;angouleme-mois-sans-tabac;2016-11-14 16:01:11;1;2016-11-10;2016-11-14
194;afumeron;Blanzac;2015-04-30 18:52:34;0;2012-06-01;
195;afumeron;Rouillac;2016-05-03 17:18:09;1;2012-06-21;2016-05-03
2880;afumeron;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2796;agaudin;avallonbui;2018-08-29 18:38:13;0;2018-08-29;
2795;agaudin;vezelay;2018-08-29 18:35:23;0;2018-08-29;
3641;agaudin;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2540;agautier;charite;2018-02-07 18:25:48;0;2018-02-07;
2539;agautier;bonny;2018-02-07 18:21:34;0;2018-02-07;
3511;agautier;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2541;agautier;chateauneufvaldebargis;2018-02-07 18:28:41;0;2018-02-07;
2559;agilot;perrecy;2018-03-07 17:00:11;0;2018-03-07;
3519;agilot;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2851;agrandlin;lhermitage;2018-09-25 11:09:50;0;2018-09-25;
3619;agrandlin;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3665;agrenier;cenonsurvienne;2018-10-16 18:00:08;0;2018-10-16;
3664;agrenier;thure;2018-10-16 17:56:45;0;2018-10-16;
2682;agromoff;frontignan;2018-06-13 18:44:32;0;2018-06-13;
3578;agromoff;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
3666;aguyau;larochesuryonmspdesforges;2018-10-16 18:03:16;0;2018-10-16;
2622;aherault;Fleury;2018-04-26 16:27:13;0;2018-04-26;
3548;aherault;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2621;aherault;Bazoches;2018-04-26 16:21:06;0;2018-04-26;
979;aherelle;louviers;2017-04-05 16:16:09;0;2017-04-05;
1025;aherelle;louviersdupont;2017-05-16 15:41:53;0;2017-05-16;
3367;aherelle;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
1026;aherelle;valdereuil;2017-05-16 15:44:40;0;2017-05-16;
497;ahermann;thierville;2016-09-26 14:15:42;1;2015-08-06;2016-09-26
2951;ahermann;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
227;ahermann;spincourt;2018-04-10 16:40:29;1;2014-09-03;2018-04-10
225;ahermann;augustins;2016-09-26 14:15:21;1;2014-10-07;2016-09-26
226;ahermann;montmedy;2015-04-30 18:52:34;0;2014-03-12;
3520;ahferchat;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
2564;ahferchat;canejan;2018-03-07 17:31:31;0;2018-03-07;
2565;ahferchat;lormont;2018-03-07 17:33:24;0;2018-03-07;
3268;aistas;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
761;aistas;chateauneufloire;2016-08-29 18:35:36;0;2016-08-29;
3160;ajagline;moissanstabac2018;2018-10-04 18:53:25;0;2018-10-04;
534;ajagline;chatelaudren;2018-04-09 19:02:58;1;2015-08-26;2018-04-09
